# Name,Freq.,Category,Magic,Element,ReqStr,ReqWis,Sharp  ,Crush  ,Fire   ,Disease,Spirit
,100,Metal,1,None,0,0,0,0,0,0,0
Mithril,0,Metal,2,Air,-1,0,1,1,0,0,0
Adamantine,0,Metal,3,Stone,1,0,2,2,0,0,0
Obsidian,0,Metal,2,Fire,2,1,0,0,3,0,0
Ironwood,0,Metal,3,Nature,0,2,2,0,-1,3,0
Electrum,0,Metal,4,Water,1,1,-1,-1,1,1,1
,0,Leather,1,None,0,0,0,0,0,0,0
Elephant,0,Leather,2,Stone,1,0,2,2,0,0,0
Demon,0,Leather,4,Air,1,3,1,1,1,0,2
Dragon,0,Leather,4,Fire,0,2,1,1,2,0,0
Unicorn,0,Leather,3,Nature,0,3,0,0,0,2,0
,0,Cloth,2,None,0,0,0,0,0,0,0
Hemp,0,Cloth,3,Nature,0,1,0,0,0,0,0
Silk,0,Cloth,3,Air,0,0,0,0,0,0,0
Fairy hair,0,Cloth,5,Water,0,2,0,0,0,2,0
Ectoplasm,0,Cloth,5,Fire,-1,2,0,0,2,0,2
Steelwhool,0,Cloth,3,Stone,1,0,1,1,0,0,0
Bronze,0,Precious,2,Nature,0,0,0,0,0,0,0
Silver,0,Precious,3,Water,0,1,0,0,0,0,0
Gold,0,Precious,4,Stone,1,1,0,0,0,0,0
Platinum,0,Precious,5,Air,0,2,0,0,0,0,0
Orichalcum,0,Precious,6,Fire,0,3,0,0,0,0,0
Ruby,0,Gem,5,Fire,0,0,0,0,0,0,0
Diamond,0,Gem,5,Stone,0,1,0,0,0,0,0
Pearl,0,Gem,5,Water,0,1,0,0,0,0,0
Jade,0,Gem,5,Nature,0,2,0,0,0,0,0
Sapphire,0,Gem,5,Air,0,2,0,0,0,0,0
